PROVINCE,DIVISION,DISTRICT,SUB DIVISION,AREA (sq.km),ALL SEXES (RURAL),MALE (RURAL),FEMALE (RURAL),TRANSGENDER (RURAL),SEX RATIO (RURAL),AVG HOUSEHOLD SIZE (RURAL),POPULATION 1998 (RURAL),ANNUAL GROWTH RATE (RURAL),ALL SEXES (URBAN),MALE (URBAN),FEMALE (URBAN),TRANSGENDER (URBAN),SEX RATIO (URBAN),AVG HOUSEHOLD SIZE (URBAN),POPULATION 1998 (URBAN),ANNUAL GROWTH RATE (URBAN)
SINDH,Sukkur Division,KHAIRPUR DISTRICT,SOBHO DERO TALUKA,504,180580,92683,87891,6,105.45,6.06,127000,1.87,94606,48906,45690,10,107.04,6.32,50450,3.36
SINDH,Sukkur Division,SUKKUR DISTRICT,NEW SUKKUR TALUKA,109,43652,22548,21102,2,106.85,5.76,29374,2.1,276571,142961,133571,39,107.03,5.8,130101,4.04
SINDH,Sukkur Division,SUKKUR DISTRICT,PANO AQIL TALUKA,1042,336263,174272,161964,27,107.6,5.79,205976,2.61,100109,57085,43009,15,132.73,5.7,62225,2.53
SINDH,Sukkur Division,SUKKUR DISTRICT,ROHRI TALUKA,807,284840,148419,136392,29,108.82,5.67,166453,2.86,85742,44179,41558,5,106.31,5.41,57537,2.12
SINDH,Sukkur Division,SUKKUR DISTRICT,SALEHPAT TALUKA,2957,102811,53904,48900,7,110.23,5.28,64646,2.47,26925,14048,12875,2,109.11,5.5,0,0
SINDH,Sukkur Division,SUKKUR DISTRICT,SUKKUR CITY TALUKA,250,0,0,0,0,0,0,2833,0,231459,118916,112511,32,105.69,5.46,212242,0.46
BALOCHISTAN,Makran Division,AWARAN DISTRICT,AWARAN TEHSIL,13075,8584,4334,4250,0,101.98,5.72,27156,5.87,21761,10986,10774,1,101.97,7.81,0,0
BALOCHISTAN,Makran Division,AWARAN DISTRICT,GISHKORE SUB-TEHSIL,4578,18390,9683,8704,3,111.25,5.07,22430,1.04,0,0,0,0,0,0,0,0
BALOCHISTAN,Makran Division,AWARAN DISTRICT,JHAL JAO SUB-TEHSIL,9439,40010,20949,19056,5,109.93,6.81,34214,0.83,0,0,0,0,0,0,0,0
BALOCHISTAN,Makran Division,AWARAN DISTRICT,MASHKAI TEHSIL,2418,20600,10472,10128,0,103.4,6.84,34373,2.65,12476,6639,5837,0,113.74,7.82,0,0
BALOCHISTAN,Kalat Division,KALAT DISTRICT,GAZG SUB-TEHSIL,1390,5721,3112,2609,0,119.28,6.02,3979,1.93,0,0,0,0,0,0,0,0
BALOCHISTAN,Kalat Division,KALAT DISTRICT,JOHAN SUB-TEHSIL,1328,10708,5625,5083,0,110.66,6.8,12299,0.73,0,0,0,0,0,0,0,0
BALOCHISTAN,Kalat Division,KALAT DISTRICT,KALAT TEHSIL,3788,92298,47816,44482,0,107.5,6.85,63919,1.95,36796,18649,18147,0,102.77,6.4,22646,2.58
BALOCHISTAN,Kalat Division,KALAT DISTRICT,MANGOCHAR TEHSIL,1148,65678,34177,31500,1,108.5,7.7,41590,2.43,0,0,0,0,0,0,0,0
BALOCHISTAN,Kalat Division,KALAT DISTRICT,SURAB TEHSIL,762,165260,84792,80468,0,105.37,7.71,82253,3.73,35597,17635,17962,0,98.18,8.53,11148,6.29
BALOCHISTAN,Makran Division,KHARAN DISTRICT,KHARAN TEHSIL,5072,29315,15119,14196,0,106.5,6.17,15966,3.24,51388,27073,24315,0,111.34,8.05,27806,3.28
BALOCHISTAN,Makran Division,KHARAN DISTRICT,SAR KHARAN TEHSIL,3539,49393,25438,23955,0,106.19,5.86,29768,2.7,0,0,0,0,0,0,0,0
BALOCHISTAN,Makran Division,KHARAN DISTRICT,SUB TEHSIL TOHMULK,6347,32670,17001,15669,0,108.5,6.22,23360,1.78,0,0,0,0,0,0,0,0
BALOCHISTAN,Kalat Division,KHUZDAR DISTRICT,ARANJI SUB-TEHSIL,7456,42318,22656,19658,4,115.25,6,28561,2.09,0,0,0,0,0,0,0,0
BALOCHISTAN,Kalat Division,KHUZDAR DISTRICT,KARAKH SUB-TEHSIL,1352,31016,16082,14933,1,107.69,5.78,21984,1.82,0,0,0,0,0,0,0,0
BALOCHISTAN,Kalat Division,KHUZDAR DISTRICT,KHUZDAR TEHSIL,6112,117020,60438,56569,13,106.84,6.4,70788,2.68,182444,95244,87193,7,109.23,6.88,91057,3.72
BALOCHISTAN,Kalat Division,KHUZDAR DISTRICT,MOOLA SUB-TEHSIL,3283,23386,12027,11350,9,105.96,6.1,13143,3.07,0,0,0,0,0,0,0,0
BALOCHISTAN,Kalat Division,KHUZDAR DISTRICT,NAL SUB-TEHSIL,4413,97576,51298,46267,11,110.87,6.57,59314,2.65,33321,17439,15881,1,109.81,6.95,0,0
BALOCHISTAN,Kalat Division,KHUZDAR DISTRICT,ORNACH SUB-TEHSIl,3368,37588,20191,17395,2,116.07,5.7,20907,3.13,0,0,0,0,0,0,0,0
BALOCHISTAN,Kalat Division,KHUZDAR DISTRICT,SAROONA SUB-TEHSIL,3257,32125,17427,14696,2,118.58,5.23,20580,2.37,0,0,0,0,0,0,0,0
BALOCHISTAN,Kalat Division,KHUZDAR DISTRICT,WADH TEHSIL,2118,77906,40448,37443,15,108.03,6.07,38539,3.77,22209,11833,10374,2,114.06,6.27,13794,2.53
BALOCHISTAN,Kalat Division,KHUZDAR DISTRICT,ZEHRI TEHSIL,4021,64199,33871,30320,8,111.71,9.08,25402,4.99,37788,20397,17389,2,117.3,9.02,13397,5.6
BALOCHISTAN,Makran Division,LASBELA DISTRICT,BELA TEHSIL,1527,80124,41690,38433,1,108.47,5.45,51636,2.33,24603,13006,11594,3,112.18,6.01,16705,2.05
BALOCHISTAN,Makran Division,LASBELA DISTRICT,DUREJI TEHSIL,2813,32686,17112,15573,1,109.88,5.31,31504,0.19,12855,6739,6116,0,110.19,4.98,0,0
BALOCHISTAN,Makran Division,LASBELA DISTRICT,GADDANI TEHSIL,419,16914,8902,8012,0,111.11,5.69,7889,4.09,7679,3889,3790,0,102.61,6.05,11068,1.9
BALOCHISTAN,Makran Division,LASBELA DISTRICT,HUB TEHSIL,868,27664,14377,13287,0,108.2,5.77,18171,2.23,177823,93326,84495,2,110.45,8.08,62763,5.62
BALOCHISTAN,Makran Division,LASBELA DISTRICT,LAKHRA TEHSIL,1954,35495,18094,17400,1,103.99,6.06,25474,1.76,0,0,0,0,0,0,0,0
BALOCHISTAN,Makran Division,LASBELA DISTRICT,LIARI TEHSIL,2010,11730,5990,5740,0,104.36,4.74,7846,2.14,0,0,0,0,0,0,0,0
BALOCHISTAN,Makran Division,LASBELA DISTRICT,SONMIANI/WINDER TEHSIL,2616,34504,17867,16637,0,107.39,5.74,20230,2.84,29515,15353,14160,2,108.43,6.63,11569,5.04
BALOCHISTAN,Makran Division,LASBELA DISTRICT,UTHAL TEHSIL,1756,42867,22196,20671,0,107.38,5.35,26405,2.58,29423,15792,13630,1,115.86,6.92,13319,4.25
BALOCHISTAN,Kalat Division,MASTUNG DISTRICT,DASHT TEHSIL,1047,64765,34040,30722,3,110.8,6.34,24570,5.22,0,0,0,0,0,0,0,0
BALOCHISTAN,Kalat Division,MASTUNG DISTRICT,KHAD KOCHA SUB-TEHSIL,640,38860,20265,18595,0,108.98,6.54,19262,3.76,0,0,0,0,0,0,0,0
BALOCHISTAN,Kalat Division,MASTUNG DISTRICT,KIRDGAP SUB-TEHSIL,929,28624,14682,13942,0,105.31,6.4,24214,0.88,0,0,0,0,0,0,0,0
BALOCHISTAN,Kalat Division,MASTUNG DISTRICT,MASTUNG TEHSIL,692,98430,50667,47763,0,106.08,7.44,57862,2.83,34997,17850,17147,0,104.1,7,24131,1.97
BALOCHISTAN,Makran Division,WASHUK DISTRICT,BESIMA SUB-TEHSIL,6014,40266,21513,18753,0,114.72,6.66,16740,4.72,0,0,0,0,0,0,0,0
BALOCHISTAN,Makran Division,WASHUK DISTRICT,MASHKHEL SUB-TEHSIL,11663,38634,20219,18414,1,109.8,4.97,29844,1.37,0,0,0,0,0,0,0,0
BALOCHISTAN,Makran Division,WASHUK DISTRICT,NAG SUB-TEHSIL,4338,34477,17743,16734,0,106.03,5.43,19956,2.91,0,0,0,0,0,0,0,0
BALOCHISTAN,Makran Division,WASHUK DISTRICT,SHAHGORI SUB-TEHSIL,3584,27548,14332,13216,0,108.44,5.19,19641,1.79,0,0,0,0,0,0,0,0
BALOCHISTAN,Makran Division,WASHUK DISTRICT,WASHUK SUB-TEHSIL,7494,12952,6627,6325,0,104.77,6.81,23828,3.15,21835,11407,10428,0,109.39,5.45,0,0
BALOCHISTAN,Makran Division,GWADAR DISTRICT,GWADAR TEHSIL,2590,47494,24823,22670,1,109.5,5.93,27593,2.89,90201,49901,40293,7,123.85,6.86,45021,3.72
BALOCHISTAN,Makran Division,GWADAR DISTRICT,JIWANI TEHSIL,454,8423,4340,4083,0,106.29,5.75,5716,2.06,18268,9511,8753,4,108.66,6.1,14072,1.38
BALOCHISTAN,Makran Division,GWADAR DISTRICT,ORMARA TEHSIL,2796,7881,4150,3731,0,111.23,5.24,7327,0.38,17753,10001,7752,0,129.01,5.4,11521,2.3
BALOCHISTAN,Makran Division,GWADAR DISTRICT,PASNI TEHSIL,4822,26790,14155,12634,1,112.04,6.02,27364,0.11,34557,18404,16149,4,113.96,8.15,29538,0.83
BALOCHISTAN,Makran Division,GWADAR DISTRICT,SUNTSER SUB-TEHSIL,1975,10886,5831,5055,0,115.35,5.31,17346,2.42,0,0,0,0,0,0,0,0
BALOCHISTAN,Makran Division,KECH DISTRICT,BALNIGORE SUB-TEHSIL,1238,44595,23222,21373,0,108.65,6.19,19560,4.42,0,0,0,0,0,0,0,0
BALOCHISTAN,Makran Division,KECH DISTRICT,BULAIDA SUB-TEHSIL,1997,37302,20624,16673,5,123.7,7.47,35251,0.3,39846,21248,18592,6,114.29,6.84,0,0
BALOCHISTAN,Makran Division,KECH DISTRICT,DASHT SUB-TEHSIL,2486,76470,41008,35459,3,115.65,6.86,39061,3.59,0,0,0,0,0,0,0,0
BALOCHISTAN,Makran Division,KECH DISTRICT,HOSHAB SUB-TEHSIL,2213,52947,30389,22549,9,134.77,6.55,37819,1.78,0,0,0,0,0,0,0,0
BALOCHISTAN,Makran Division,KECH DISTRICT,KECH (TURBAT) TEHSIL,9742,202777,110066,92685,26,118.75,6.12,88539,4.45,213831,118713,95086,32,124.85,6.14,68603,6.15
BALOCHISTAN,Makran Division,KECH DISTRICT,MAND SUB-TEHSIL,1456,50995,27158,23835,2,113.94,6,35281,1.95,0,0,0,0,0,0,0,0
BALOCHISTAN,Makran Division,KECH DISTRICT,TUMP SUB-TEHSIL,1945,97665,53822,43829,14,122.8,7.83,51234,3.45,48343,25590,22751,2,112.48,7.77,0,0
BALOCHISTAN,Makran Division,KECH DISTRICT,ZAMORAN SUB-TEHSIL,1462,42411,21038,21370,3,98.45,7.7,37856,0.6,0,0,0,0,0,0,0,0
BALOCHISTAN,Makran Division,PANJGUR DISTRICT,GICHK SUB-TEHSIL,8387,16646,8967,7676,3,116.82,8.37,22568,1.59,0,0,0,0,0,0,0,0
BALOCHISTAN,Makran Division,PANJGUR DISTRICT,GOWARGO TEHSIL,1471,16329,8424,7905,0,106.57,5.7,24377,2.08,0,0,0,0,0,0,0,0
BALOCHISTAN,Makran Division,PANJGUR DISTRICT,PANJGUR TEHSIL,3655,178752,93460,85279,13,109.59,7.54,146971,1.03,80411,42867,37541,3,114.19,7.07,21297,7.23
BALOCHISTAN,Makran Division,PANJGUR DISTRICT,PAROME TEHSIL,3378,23215,12661,10551,3,120,8.49,18838,1.1,0,0,0,0,0,0,0,0
BALOCHISTAN,Naseerabad Division,JAFFARABAD DISTRICT,GANDHAKA TEHSIL,554,74881,38209,36650,22,104.25,5.93,52767,1.86,0,0,0,0,0,0,0,0
BALOCHISTAN,Naseerabad Division,JAFFARABAD DISTRICT,JHAT PAT TEHSIL,690,172149,88378,83749,22,105.53,6.37,92689,3.31,80958,41622,39328,8,105.83,6.75,38371,4
BALOCHISTAN,Naseerabad Division,JAFFARABAD DISTRICT,USTA MUHAMMAD TEHSIL,399,109231,55791,53439,1,104.4,6.65,68517,2.48,76753,38872,37881,0,102.62,6.69,38946,3.63
BALOCHISTAN,Naseerabad Division,JHAL MAGSI DISTRICT,GANDAWA TEHSIL,1344,43365,22324,21041,0,106.1,6.05,26694,2.58,7815,3958,3856,1,102.65,6.26,8097,0.19
BALOCHISTAN,Naseerabad Division,JHAL MAGSI DISTRICT,JHAL MAGSI TEHSIL,1679,88279,45604,42675,0,106.86,5.86,63588,1.74,0,0,0,0,0,0,0,0
BALOCHISTAN,Naseerabad Division,JHAL MAGSI DISTRICT,MIRPUR SUB-TEHSIL,592,9441,4840,4601,0,105.19,6.21,11562,1.06,0,0,0,0,0,0,0,0
BALOCHISTAN,Naseerabad Division,KACHHI DISTRICT,BALANARI SUB-TEHSIL,402,43341,22595,20746,0,108.9,6.13,39597,0.48,0,0,0,0,0,0,0,0
BALOCHISTAN,Naseerabad Division,KACHHI DISTRICT,BHAG TEHSIL,1308,56859,29740,27115,4,109.7,6.57,43842,1.38,16600,8529,8068,3,105.7,6.53,12181,1.64
BALOCHISTAN,Naseerabad Division,KACHHI DISTRICT,DHADAR TEHSIL,976,27149,14145,13004,0,108.8,7.02,32663,0.97,15240,7938,7302,0,108.7,8.1,12818,0.91
BALOCHISTAN,Naseerabad Division,KACHHI DISTRICT,KHATTAN SUB-TEHSIL,277,14213,7411,6802,0,109,8.05,7202,3.64,0,0,0,0,0,0,0,0
BALOCHISTAN,Naseerabad Division,KACHHI DISTRICT,MACH SUB-TEHSIL,708,20489,10719,9770,0,109.7,7.07,15619,1.44,19140,10363,8777,0,118.1,7.6,14488,1.47
BALOCHISTAN,Naseerabad Division,KACHHI DISTRICT,SANNI SUB-TEHSIL,2011,96901,52851,44049,1,120,9.4,77070,1.21,0,0,0,0,0,0,0,0
BALOCHISTAN,Naseerabad Division,NASIRABAD DISTRICT,BABA KOT TEHSIL,967,49480,25844,23636,0,109.34,6.69,19531,5,0,0,0,0,0,0,0,0
BALOCHISTAN,Naseerabad Division,NASIRABAD DISTRICT,CHATTAR SUB-TEHSIL,961,76536,39811,36725,0,108.4,7.91,50446,2.21,0,0,0,0,0,0,0,0
BALOCHISTAN,Naseerabad Division,NASIRABAD DISTRICT,DERA MURAD JAMALI TEHSIL,776,134459,69042,65417,0,105.54,7.26,65676,3.84,96316,49161,47155,0,104.25,7.42,38431,4.95
BALOCHISTAN,Naseerabad Division,NASIRABAD DISTRICT,TAMBOO TEHSIL,683,131056,67706,63349,1,106.88,7.2,71810,3.21,0,0,0,0,0,0,0,0
BALOCHISTAN,Naseerabad Division,SOHBATPUR DISTRICT,FARIDABAD TEHSIL,137,58204,29719,28484,1,104.34,6.69,33400,2.96,0,0,0,0,0,0,0,0
BALOCHISTAN,Naseerabad Division,SOHBATPUR DISTRICT,SANHRI TEHSIL,331,88788,45781,43005,2,106.46,6.39,66681,1.52,0,0,0,0,0,0,0,0
BALOCHISTAN,Naseerabad Division,SOHBATPUR DISTRICT,SOHBATPUR TEHSIL,334,40567,20803,19757,7,105.29,6.93,33240,1.05,12867,6664,6203,0,107.43,5.87,8206,2.39
BALOCHISTAN,Quetta Division,CHAGAI DISTRICT,CHAGAI SUB-TEHSIL,3975,58256,30396,27859,1,109.11,7.18,22511,5.12,0,0,0,0,0,0,0,0
BALOCHISTAN,Quetta Division,CHAGAI DISTRICT,DALBANDIN TEHSIL,15363,111203,57650,53548,5,107.66,6.5,48380,4.47,16265,8299,7966,0,104.18,8.19,11948,1.63
BALOCHISTAN,Quetta Division,CHAGAI DISTRICT,NOKUNDI SUB-TEHSIL,16092,22283,11851,10432,0,113.6,6.42,14029,2.46,0,0,0,0,0,0,0,0
BALOCHISTAN,Quetta Division,CHAGAI DISTRICT,TAFTAN SUB-TEHSIL,9318,18510,10777,7732,1,139.38,8.14,7666,4.74,0,0,0,0,0,0,0,0
BALOCHISTAN,Quetta Division,KILLA ABDULLAH DISTRICT,CHAMAN TEHSIL,1341,311355,164656,146699,0,112.24,8.49,95062,6.43,123206,65093,58112,1,112.01,7.78,56792,4.15
BALOCHISTAN,Quetta Division,KILLA ABDULLAH DISTRICT,DOBANDI SUB-TEHSIL,1604,61741,33936,27804,1,122.05,7.48,31050,3.68,0,0,0,0,0,0,0,0
BALOCHISTAN,Quetta Division,KILLA ABDULLAH DISTRICT,GULISTAN TEHSIL,1536,114984,59793,55190,1,108.34,6.98,66883,2.89,0,0,0,0,0,0,0,0
BALOCHISTAN,Quetta Division,KILLA ABDULLAH DISTRICT,KILLA ABDULLAH TEHSIL,413,120944,61932,59011,1,104.95,6.34,110937,0.45,26124,13889,12235,0,113.52,6.7,0,0
BALOCHISTAN,Quetta Division,NUSHKI DISTRICT,NUSHKI TEHSIL,5797,132551,68290,64258,3,106.27,7.78,74082,3.1,46396,24281,22115,0,109.79,8.19,23948,3.54
BALOCHISTAN,Quetta Division,PISHIN DISTRICT,BARSHORE SUB-TEHSIL,2474,103423,52620,50802,1,103.58,5.97,95132,0.44,0,0,0,0,0,0,0,0
BALOCHISTAN,Quetta Division,PISHIN DISTRICT,HURRAM ZAI SUB-TEHSIL,418,102700,53635,49057,8,109.33,5.58,58093,3.04,29402,14780,14622,0,101.08,5.88,0,0
BALOCHISTAN,Quetta Division,PISHIN DISTRICT,KAREZAT SUB-TEHSIL,2044,97469,51149,46315,5,110.44,6.15,63375,2.29,39997,20435,19539,23,104.59,5.74,0,0
BALOCHISTAN,Quetta Division,PISHIN DISTRICT,PISHIN TEHSIL,1199,272063,140788,131260,15,107.26,5.78,108306,4.96,35547,18426,17116,5,107.65,5.81,22955,2.32
BALOCHISTAN,Quetta Division,PISHIN DISTRICT,SARANAN TEHSIL,83,18452,9615,8836,1,108.82,6.2,28867,2.32,37850,19167,18680,3,102.61,5.29,0,0
BALOCHISTAN,Quetta Division,QUETTA DISTRICT,PANJ PAI SUB-TEHSIL,1205,19011,9723,9287,1,104.69,8.17,15139,1.2,0,0,0,0,0,0,0,0
BALOCHISTAN,Quetta Division,QUETTA DISTRICT,QUETTA CITY TEHSIL,779,723361,375710,347599,52,108.09,8.96,73759,12.74,999385,528019,471224,142,112.05,7.56,565137,3.04
BALOCHISTAN,Quetta Division,QUETTA DISTRICT,QUETTA SADDAR TEHSIL,1463,527716,277024,250608,84,110.54,7.59,120512,8.07,0,0,0,0,0,0,0,0
BALOCHISTAN,Quetta Division,DERA BUGTI DISTRICT,BAIKER SUB-TEHSIL,258,19497,10583,8914,0,118.72,7.18,5305,7.08,0,0,0,0,0,0,0,0
BALOCHISTAN,Quetta Division,DERA BUGTI DISTRICT,DERA BUGTI TEHSIL,927,20790,10932,9858,0,110.89,6.25,16908,1.09,27625,14490,13135,0,110.32,6.79,15495,3.08
BALOCHISTAN,Quetta Division,DERA BUGTI DISTRICT,LOTI TEHSIL,803,18058,9963,8095,0,123.08,6.98,8491,4.04,0,0,0,0,0,0,0,0
BALOCHISTAN,Quetta Division,DERA BUGTI DISTRICT,MALAM SUB-TEHSIL,957,27265,13216,14049,0,94.07,7.25,19504,1.78,0,0,0,0,0,0,0,0
BALOCHISTAN,Quetta Division,DERA BUGTI DISTRICT,PHELAWAGH TEHSIL,205,28054,13931,14123,0,98.64,7.16,11760,4.67,0,0,0,0,0,0,0,0
BALOCHISTAN,Quetta Division,DERA BUGTI DISTRICT,PIR KOH SUB-TEHSIL,1619,40629,21937,18692,0,117.36,5.74,27448,2.08,0,0,0,0,0,0,0,0
BALOCHISTAN,Quetta Division,DERA BUGTI DISTRICT,SANGSILLAH SUB-TEHSIL,1533,10217,5435,4781,1,113.68,6.69,13700,1.53,0,0,0,0,0,0,0,0
BALOCHISTAN,Quetta Division,DERA BUGTI DISTRICT,SUI TEHSIL,3858,48235,27035,21200,0,127.52,6.32,62699,1.37,72740,37534,35206,0,106.61,6.94,0,0
BALOCHISTAN,Quetta Division,HARNAI DISTRICT,HARNAI TEHSIL,259,50753,26754,23987,12,111.54,5.62,42123,0.98,13303,6950,6349,4,109.47,6.02,9359,1.86
BALOCHISTAN,Quetta Division,HARNAI DISTRICT,KHOAST SUB-TEHSIL,1619,12279,6407,5872,0,109.11,5.78,9908,1.13,0,0,0,0,0,0,0,0
BALOCHISTAN,Quetta Division,HARNAI DISTRICT,SHAHRIG TEHSIL,614,9458,4962,4495,1,110.39,5.08,15262,2.48,11259,6891,4366,2,157.83,5.35,0,0
BALOCHISTAN,Quetta Division,KOHLU DISTRICT,GRISANI SUB-TEHSIL,174,17027,9359,7668,0,122.05,7.72,4057,7.83,0,0,0,0,0,0,0,0
BALOCHISTAN,Quetta Division,KOHLU DISTRICT,KAHAN TEHSIL,3754,73833,36485,37348,0,97.69,11.06,26765,5.48,0,0,0,0,0,0,0,0
BALOCHISTAN,Quetta Division,KOHLU DISTRICT,KOHLU TEHSIL,231,27709,14623,13086,0,111.75,5.97,17037,2.59,17443,9001,8442,0,106.62,7.87,9665,3.15
BALOCHISTAN,Quetta Division,KOHLU DISTRICT,MAWAND TEHSIL,2915,41516,22480,19036,0,118.09,6.37,24056,2.91,0,0,0,0,0,0,0,0
BALOCHISTAN,Quetta Division,SIBI DISTRICT,KOT MANDAI SUB-TEHSIL,1977,7583,4032,3551,0,113.55,6.02,8057,0.32,0,0,0,0,0,0,0,0
BALOCHISTAN,Quetta Division,SIBI DISTRICT,LEHRI TEHSIL,1817,44490,23211,21278,1,109.08,5.91,32576,1.65,0,0,0,0,0,0,0,0
BALOCHISTAN,Quetta Division,SIBI DISTRICT,SANGAN SUB-TEHSIL,1378,2665,1441,1223,1,117.83,8.2,3024,0.66,0,0,0,0,0,0,0,0
BALOCHISTAN,Quetta Division,SIBI DISTRICT,SIBI TEHSIL,1949,60339,32359,27977,3,115.66,6.06,44198,1.65,64674,33680,30980,14,108.72,7.19,48467,1.53
BALOCHISTAN,Quetta Division,ZIARAT DISTRICT,SINJAWI SUB-TEHSIL,1812,92497,48070,44413,14,108.23,5.88,47408,3.57,0,0,0,0,0,0,0,0
BALOCHISTAN,Quetta Division,ZIARAT DISTRICT,ZIARAT TEHSIL,1489,64206,32405,31793,8,101.92,5.09,32704,3.61,3392,1686,1706,0,98.83,4.91,636,9.19
BALOCHISTAN,Zhob Division,BARKHAN DISTRICT,BARKHAN TEHSIL,3514,158824,83576,75237,11,111.08,6.49,95875,2.69,12201,6335,5863,3,108.05,7.4,7670,2.47
BALOCHISTAN,Zhob Division,KILLA SAIFULLAH DISTRICT,BADINI SUB-TEHSIL,0,15345,8720,6625,0,131.62,6.89,6583,4.55,0,0,0,0,0,0,0,0
BALOCHISTAN,Zhob Division,KILLA SAIFULLAH DISTRICT,KAN MEHTARZAI SUB-TEHSIL,0,33242,17462,15780,0,110.66,6.13,24168,1.69,0,0,0,0,0,0,0,0
BALOCHISTAN,Zhob Division,KILLA SAIFULLAH DISTRICT,KILLA SAIFULLAH TEHSIL,4386,97481,51840,45636,5,113.59,6.69,55343,3.02,34865,18341,16524,0,111,6.64,8129,7.95
BALOCHISTAN,Zhob Division,KILLA SAIFULLAH DISTRICT,LOIBAND TEHSIL,0,27962,14875,13087,0,113.66,6.68,25791,0.43,0,0,0,0,0,0,0,0
BALOCHISTAN,Zhob Division,KILLA SAIFULLAH DISTRICT,MUSLIM BAGH TEHSIL,0,50283,26295,23988,0,109.62,6.24,27700,3.18,28428,14852,13576,0,109.4,6.16,17170,2.68
BALOCHISTAN,Zhob Division,KILLA SAIFULLAH DISTRICT,SHINKI SUB-TEHSIL,2445,55326,29421,25905,0,113.57,6.15,28669,3.51,0,0,0,0,0,0,0,0
BALOCHISTAN,Zhob Division,LORALAI DISTRICT,DUKI TEHSIL,4233,142935,76379,66552,4,114.77,6.83,110867,1.34,10042,5639,4403,0,128.07,7.27,5109,3.61
BALOCHISTAN,Zhob Division,LORALAI DISTRICT,LORALAI\BORI TEHSIL,2203,148730,78186,70540,4,110.84,7.34,72551,3.84,54849,30677,24170,2,126.92,6.85,29875,3.24
BALOCHISTAN,Zhob Division,LORALAI DISTRICT,MEKHTAR SUB-TEHSIL,1582,40867,21621,19240,6,112.38,6.62,31745,1.34,0,0,0,0,0,0,0,0
BALOCHISTAN,Zhob Division,MUSAKHEL DISTRICT,DRUG TEHSIL,848,37599,20168,17429,2,115.72,6.32,28638,1.44,0,0,0,0,0,0,0,0
BALOCHISTAN,Zhob Division,MUSAKHEL DISTRICT,KINGRI TEHSIL,3683,31339,16924,14413,2,117.42,7.21,24822,1.23,0,0,0,0,0,0,0,0
BALOCHISTAN,Zhob Division,MUSAKHEL DISTRICT,MUSAKHEL TEHSIL,1197,84170,46200,37963,7,121.7,6.87,69007,1.05,14135,7441,6693,1,111.18,6.71,11589,1.05
BALOCHISTAN,Zhob Division,SHERANI DISTRICT,SHERANI TEHSIL,4310,152952,84390,68561,1,123.09,7.3,81684,3.35,0,0,0,0,0,0,0,0
BALOCHISTAN,Zhob Division,ZHOB DISTRICT,ASHWAT SUB-TEHSIL,901,20768,11575,9193,0,125.91,8.15,13247,2.39,0,0,0,0,0,0,0,0
BALOCHISTAN,Zhob Division,ZHOB DISTRICT,KASHATOO SUB-TEHSIL,1590,5184,2645,2539,0,104.17,6.83,5165,0.02,0,0,0,0,0,0,0,0
BALOCHISTAN,Zhob Division,ZHOB DISTRICT,QAMAR DIN KAREZ TEHSIL,1286,13831,7486,6345,0,117.98,5.73,5855,4.62,0,0,0,0,0,0,0,0
BALOCHISTAN,Zhob Division,ZHOB DISTRICT,SAMBAZA SUB-TEHSIL,2888,17465,9848,7617,0,129.29,7.09,15198,0.73,0,0,0,0,0,0,0,0
BALOCHISTAN,Zhob Division,ZHOB DISTRICT,ZHOB TEHSIL,9322,206942,111210,95731,1,116.17,6.58,110150,3.37,46164,25475,20689,0,123.13,6.4,43843,0.27
KPK,BANNU DIVISION,BANNU DISTRICT,BANNU TEHSIL,802,908155,457808,450324,23,101.66,9.16,525281,2.92,49948,27628,22319,1,123.79,7.42,47676,0.24
KPK,BANNU DIVISION,BANNU DISTRICT,DOMEL TEHSIL,425,208968,107189,101779,0,105.32,10.98,102710,3.8,0,0,0,0,0,0,0,0
KPK,BANNU DIVISION,LAKKI MARWAT DISTRICT,LAKKI MARWAT TEHSIL,2541,519601,261879,257719,3,101.61,8.47,309467,2.76,59273,30735,28538,0,107.7,7.24,30467,3.56
KPK,BANNU DIVISION,LAKKI MARWAT DISTRICT,SARAI NAURANG TEHSIL,623,266891,134073,132817,1,100.95,9.65,133680,3.7,29979,15030,14949,0,100.54,9.22,16411,3.22
KPK,DERA ISMAIL KHAN DIVISION,DERA ISMAIL KHAN DISTRICT,DARABAN TEHSIL,1540,124318,64533,59784,1,107.94,8.22,73658,2.79,0,0,0,0,0,0,0,0
KPK,DERA ISMAIL KHAN DIVISION,DERA ISMAIL KHAN DISTRICT,DERA ISMAIL KHAN TEHSIL,1167,507431,260671,246730,30,105.65,8.62,270676,3.36,218018,114116,103865,37,109.87,6.54,92114,4.63
KPK,DERA ISMAIL KHAN DIVISION,DERA ISMAIL KHAN DISTRICT,KULACHI TEHSIL,1229,77139,39956,37181,2,107.46,8.67,48143,2.51,24753,12750,12003,0,106.22,6.91,19113,1.37
KPK,DERA ISMAIL KHAN DIVISION,DERA ISMAIL KHAN DISTRICT,PAHARPUR TEHSIL,1657,303520,154668,148834,18,103.92,7.64,204009,2.11,77566,40040,37521,5,106.71,8.27,14580,9.18
KPK,DERA ISMAIL KHAN DIVISION,DERA ISMAIL KHAN DISTRICT,PAROA TEHSIL,1733,252462,130064,122390,8,106.27,8.41,130702,3.52,39881,20887,18993,1,109.97,7.75,0,0
